Pro,label,Issue_KEY,Commit_SHA,Issue_Text,Commit_Text,Commit_Code
keras,1,#10864,e94e2cc5761e1a516f70e1706498b85cf9287297,"Removed Some Code In The Cropping Layer By Making Use Of Python Slices.### Summary

I Think This Version Is Less Error Prone And More Maintainable.
Maybe We Could Do Some Subclassing?

### Related Issues

### Pr Overview

- [ ] This Pr Requires New Unit Tests [Y/N] (Make Sure Tests Are Included)
- [ ] This Pr Requires To Update The Documentation [Y/N] (Make Sure The Docs Are Up-To-Date)
- [X] This Pr Is Backwards Compatible [Y/N]
- [ ] This Pr Changes The Current Api [Y/N] (All Api Changes Need To Be Approved By Fchollet)
",Removed some code in the cropping layer by making use of slices. (#10864),Removed some code in the cropping layer by making use of slices. (#10864)
keras,1,#11039,5027630fa41f499a9226a8f9d952ceabf2c247aa,"Better Ux For __Iter__### Summary
We Recently Added __Iter__ To Sequence. And While At The Time Making It Infinite Made Sense. It'S A Bad Ux. This Pr Makes __Iter__ More Friendly By **Not** Being Infinite And Add A Function To Be Used When We Need It To Be Infinite (When Workers=0)
### Related Issues
Https://Github.Com/Keras-Team/Keras-Preprocessing/Issues/45
### Pr Overview

- [ ] This Pr Requires New Unit Tests [Y/N] (Make Sure Tests Are Included)
- [X] This Pr Requires To Update The Documentation [Y/N] (Make Sure The Docs Are Up-To-Date)
- [] This Pr Is Backwards Compatible [Y/N]
- [X] This Pr Changes The Current Api [Y/N] (All Api Changes Need To Be Approved By Fchollet)
",Better UX (#11039),Better UX (#11039)
keras,0,10802,be28fd9e06cb16d28730c87f5c5a2b790c1abbcc,Exclude Cntk Legacy Codes When Reporting CoveragesThis Pr Excludes Cntk Legacy Codes When Reporting Coverages (The `_Padding` Is For The Old Versions That Don'T Have `C.Pad`). This Affects Only Calculating Test Coverages.,Add missing to_list to multi_gpu_utils (#10795),Add missing to_list to multi_gpu_utils (#10795)
keras,1,#10995,c6beaa5758b54287c35344b4dbe19d35ac267b72,"Adding Timeout For Test_Regression_Class_Build_Fn.### Summary

We Currently Have Builds Which Randomly Fail After Giving No Output To Travis For 10+ Minutes.
We Should Find Out Why, And Even If We Don'T Find Out, Setting A Timeout Will Allow Us To Make The Tests Shorter And Avoid Keeping Travis Busy For Nothing.

For The Moment, It Seems That Builds Roughly Fails Less Than 10 % Of The Time. It Happened With Theano And Tensorflow.

### Related Issues

Https://Travis-Ci.Org/Keras-Team/Keras/Builds/420189728?Utm_Source=Github_Status&Utm_Medium=Notification
Https://Travis-Ci.Org/Keras-Team/Keras/Builds/418921575
Https://Travis-Ci.Org/Keras-Team/Keras/Builds/418803535
Https://Travis-Ci.Org/Keras-Team/Keras/Builds/416939972
Https://Travis-Ci.Org/Keras-Team/Keras/Builds/417639673
Https://Travis-Ci.Org/Keras-Team/Keras/Builds/421029486?Utm_Source=Github_Status&Utm_Medium=Notification

### Pr Overview

See Https://Pypi.Org/Project/Pytest-Timeout/. 
It Will Make The Test Fail After 50 Seconds And Also Give A Traceback. Kind Of Like Keyboardinterupt.

- [ ] This Pr Requires New Unit Tests [Y/N] (Make Sure Tests Are Included)
- [ ] This Pr Requires To Update The Documentation [Y/N] (Make Sure The Docs Are Up-To-Date)
- [X] This Pr Is Backwards Compatible [Y/N]
- [ ] This Pr Changes The Current Api [Y/N] (All Api Changes Need To Be Approved By Fchollet)
","Trying to find a clue about the flaky test of (#10995)

test_regression_class_build_fn.","Trying to find a clue about the flaky test of (#10995)

test_regression_class_build_fn."
keras,0,10549,5a7a789ee9766b6a594bd4be8b9edb34e71d6500,Update Regularizers.Md`Keras.Regularizers.L1_L2()` Takes Two Arguments. The Doc Was Misleading.,"Minor improvement documentation (#10552)

* Doc

* Fix indent","Minor improvement documentation (#10552)

* Doc

* Fix indent"
keras,0,12506,91765e700b1d5e465fcb56bd2c2f56384bc2772d,"Updated The Copyright Years<!--
Please Make Sure You'Ve Read And Understood Our Contributing Guidelines;
Https://Github.Com/Keras-Team/Keras/Blob/Master/Contributing.Md
-->

### Summary

The Copyrights Years Were Not Up To Date, Hence, I Changed Them To The Current Year.

### Related Issues

### Pr Overview

- [N] This Pr Requires New Unit Tests [Y/N] (Make Sure Tests Are Included)
- [Y] This Pr Requires To Update The Documentation [Y/N] (Make Sure The Docs Are Up-To-Date)
- [N] This Pr Is Backwards Compatible [Y/N]
- [N] This Pr Changes The Current Api [Y/N] (All Api Changes Need To Be Approved By Fchollet)
",Fix doc (#12459),Fix doc (#12459)
keras,1,#10422,4f90f95fa5fb087445acb40c110770ebb3817b28,"Update Faq.MdChanged ""Notes That The Methods...."" To ""Note That The Methods""","Update faq.md (#10422)

Changed ""Notes that the methods...."" to ""Note that the methods""","Update faq.md (#10422)

Changed ""Notes that the methods...."" to ""Note that the methods"""
keras,1,#13271,680be2e1b782616982338da1bca5158259e94e78,"Adding Logcosh, Poisson, Kldivergence, Crossentropy Metrics.<!--
Please Make Sure You'Ve Read And Understood Our Contributing Guidelines;
Https://Github.Com/Keras-Team/Keras/Blob/Master/Contributing.Md
-->

### Summary
Adding Logcosh, Poisson, Kldivergence Metrics.

### Related Issues
N/A

### Pr Overview

- [Y] This Pr Requires New Unit Tests [Y/N] (Make Sure Tests Are Included)
- [N] This Pr Requires To Update The Documentation [Y/N] (Make Sure The Docs Are Up-To-Date)
- [Y] This Pr Is Backwards Compatible [Y/N]
- [N] This Pr Changes The Current Api [Y/N] (All Api Changes Need To Be Approved By Fchollet)
","Adding LogCosh, Poisson, KLDivergence, crossentropy metrics. (#13271)

* Adding LogCosh, Poisson, KLDivergence metrics.

* Adding crossentropy  metrics.","Adding LogCosh, Poisson, KLDivergence, crossentropy metrics. (#13271)

* Adding LogCosh, Poisson, KLDivergence metrics.

* Adding crossentropy  metrics."
keras,0,12534,ce67a90decbe2f26f9ac9597d518f07b01d0c293,"Make `Eye` Consistent Over All The Backends### Summary

This Pr Makes `Eye` Consistent Over All The Backends.",Revise backend tests for binary and categorical crossentropy (#12541),Revise backend tests for binary and categorical crossentropy (#12541)
keras,1,#9892,e73199d413395d7ede0dd86c06f7a9ad2d1fee17,"Removed Generate Dropout Ones From Recurrent.This Is Something I Noticed When Doing The Cell Based Convolution Recurrent Layer. 

The Function `_Generate_Dropout_Ones` Isn'T Actually Needed If We Use `K.Ones_Like()`. 

It Makes The Code Simpler And More Maintainable I Think.","Removed generate dropout ones from recurrent. (#9892)

* Removed generate dropout ones from recurrent.

* Fixed index issue.","Removed generate dropout ones from recurrent. (#9892)

* Removed generate dropout ones from recurrent.

* Fixed index issue."
keras,0,10972,ff87f16b2a97fe7c0aedb66449e436a502bbe1a8,"Created A Dummy 'Variable' Function In The Numpy Backend To Replace The `Backend` Variable.### Summary
@Taehoonlee 

Allow Me To Propose An Alternative To The `Assert_Value_With_Ref` Method For The Numpy Reference Operations.
The Limitation Which I See With This Approach Is That It Will Be Hard To Track The Progress Of The Removal Of The Other Backends (I May Be Wrong, Feel Free To Correct Me It'S Possible I Haven'T Read The Code Well Enough).

I Propose That We Consider The Numpy Backend As A True Backend For The Tests (Without Gradients Of Course).
I Created A New Variable Called `Backend_And_Np` Which Is Similar To `Backends` And Will Hopefully Replace It.

Once We Manage To Remove All Occurences Of `Kc`, `Ktf`, `Kth` And `Backends`, We Should Be Able To Removed Unnecessary Installs Of Backends.

I Made A Small Example Here For The `Reshape` Backend Function.

What Are Your Thoughts On This?

### Related Issues

### Pr Overview

- [ ] This Pr Requires New Unit Tests [Y/N] (Make Sure Tests Are Included)
- [ ] This Pr Requires To Update The Documentation [Y/N] (Make Sure The Docs Are Up-To-Date)
- [X] This Pr Is Backwards Compatible [Y/N]
- [ ] This Pr Changes The Current Api [Y/N] (All Api Changes Need To Be Approved By Fchollet)
",ignore PEP8 W503 (#10976),ignore PEP8 W503 (#10976)
keras,1,#12146,55e7875354416c04719eb60c7db2bac78f271df4,"Using Shutil Rather Than Copying The Tree Manually In Autogen.Py### Summary

In Autogen.Py, We Copy Template Into Sources And Then Work On It. But We Copy The Tree Manually. `Shutil` Has A Function For This Purpose.

### Related Issues

### Pr Overview

 In The Loop, We Copy Only Markdown Files. But All The Files In `Templates` Are Markdown Files So It'S Fine.

- [ ] This Pr Requires New Unit Tests [Y/N] (Make Sure Tests Are Included)
- [ ] This Pr Requires To Update The Documentation [Y/N] (Make Sure The Docs Are Up-To-Date)
- [X] This Pr Is Backwards Compatible [Y/N]
- [ ] This Pr Changes The Current Api [Y/N] (All Api Changes Need To Be Approved By Fchollet)
","Using shutil rather than copying the tree manually in autogen.py (#12146)

### Summary

In autogen.py, we copy template into sources and then work on it. But we copy the tree manually. `shutil` has a function for this purpose.

### Related Issues

### PR Overview

 In the loop, we copy only markdown files. But all the files in `templates` are markdown files so it's fine.

- [ ] This PR requires new unit tests [y/n] (make sure tests are included)
- [ ] This PR requires to update the documentation [y/n] (make sure the docs are up-to-date)
- [x] This PR is backwards compatible [y/n]
- [ ] This PR changes the current API [y/n] (all API changes need to be approved by fchollet)","Using shutil rather than copying the tree manually in autogen.py (#12146)

### Summary

In autogen.py, we copy template into sources and then work on it. But we copy the tree manually. `shutil` has a function for this purpose.

### Related Issues

### PR Overview

 In the loop, we copy only markdown files. But all the files in `templates` are markdown files so it's fine.

- [ ] This PR requires new unit tests [y/n] (make sure tests are included)
- [ ] This PR requires to update the documentation [y/n] (make sure the docs are up-to-date)
- [x] This PR is backwards compatible [y/n]
- [ ] This PR changes the current API [y/n] (all API changes need to be approved by fchollet)"
keras,0,10749,2526c85ae17d83cdcd826ceeceb7643ae5cbcb2b,"Fixing Hdf5Matrix `.Dtype` And `.Shape` Properties### Summary

Adding Code To The Initialization Function Of `Hdf5Matrix` So That `.Dtype` And `.Shape` Reflect The Actual Values Returned By The Normalizer. This Is Particularly Important Because The `Model.Fit` Function Looks At The Shape To Determine If The Code Can Be Run And If There Are Changes To Shape (Random Cropping, Downsampling, Edge Removal, ...) Performed In The Normalizer These Are Not Currently Reflected In The `.Shape` Property. The Dtype Mismatch Currently Does Not Cause Any Issues (That I Know Of) But Should Also Be Adjusted As Well. 

### Related Issues
Https://Github.Com/Keras-Team/Keras/Issues/8304

### Pr Overview

- [X] This Pr Requires New Unit Tests [Y/N] (Make Sure Tests Are Included)
- [X] This Pr Requires To Update The Documentation [Y/N] (Make Sure The Docs Are Up-To-Date)
- [X] This Pr Is Backwards Compatible [Y/N]
- [X] This Pr Changes The Current Api [Y/N] (All Api Changes Need To Be Approved By Fchollet)
",Enable line length checking on a per file basis. (#10698),Enable line length checking on a per file basis. (#10698)
keras,1,#10962,1788a0a901efccfffcead3d64a5b8e5876998d32,Enable Nasnetmobile In Integration_Tests For Theano And CntkThis Pr Enables Nasnetmobile In Integration_Tests For Theano And Cntk.,Enable NASNetMobile in integration_tests for Theano and CNTK (#10962),Enable NASNetMobile in integration_tests for Theano and CNTK (#10962)
keras,0,11166,cb9d79efa87043f76989ed530de2bdb4b1fe8d19,"Grouped Conda Installations Together To Speed Up The Travis Build.### Summary

Master:
* Installation Of Mkl And Mkl-Services: 10.10S
* Installation Of Pil/Pillow: 11S
* Installation Of Pydot Graphvis: 21S
#### Total: 43S

Proposed:
* Grouped Installation Of  Mkl ,Mkl-Services Pil/Pillow Pydot Graphvis: 24.8S.

We Can Save ~18S On All Travis Jobs.

### Related Issues

### Pr Overview

- [ ] This Pr Requires New Unit Tests [Y/N] (Make Sure Tests Are Included)
- [ ] This Pr Requires To Update The Documentation [Y/N] (Make Sure The Docs Are Up-To-Date)
- [X] This Pr Is Backwards Compatible [Y/N]
- [ ] This Pr Changes The Current Api [Y/N] (All Api Changes Need To Be Approved By Fchollet)
",Removed the tests of each layers in the sequential model. (#11115),Removed the tests of each layers in the sequential model. (#11115)
keras,0,10992,545acc4b66b5fb0ed5457ef7288d836f022c118d,"Speed Up Backend Tests### Summary

This Pr Speeds Up Backend Tests By Removing Redundant Backend Tests. The Targets, Which Always Been Included In The Slowest 20 Test Durations, Are `Test_Elementwise_Operations` And `Test_Nn_Operations`.

This Pr Also Cleans Up Old Styles For Backend Tests Including `Assert_Value_With_Ref`, `Return_Results`, `Shape_Or_Val`, And The Related Stuff With Them. As A Result, The `Test_Conv`, `Test_Depthwise_Conv`, And `Test_Pool` Are Now Much Cleaner Than Before.

### Related Issues

#10972
#10956
#10930

Cc @Gabrieldemarmiesse","Speed up backend tests (#11051)

* Speed up backend tests

* Minor revision","Speed up backend tests (#11051)

* Speed up backend tests

* Minor revision"
keras,1,#12348,050e8cb773e28924eed6e38903affa0738c17dc8,"Type Check For `K.Set_Epsilon`<!--
Please Make Sure You'Ve Read And Understood Our Contributing Guidelines;
Https://Github.Com/Keras-Team/Keras/Blob/Master/Contributing.Md
-->

### Summary
Add Type Check When Setting Epsilon.
### Related Issues

### Pr Overview

- [N] This Pr Requires New Unit Tests [Y/N] (Make Sure Tests Are Included)
- [N] This Pr Requires To Update The Documentation [Y/N] (Make Sure The Docs Are Up-To-Date)
- [Y] This Pr Is Backwards Compatible [Y/N]
- [N] This Pr Changes The Current Api [Y/N] (All Api Changes Need To Be Approved By Fchollet)
","Type check for `K.set_epsilon` (#12348)

* Add error message

* Fix for python2

* PEP8

* Try float conversion instead of checking type","Type check for `K.set_epsilon` (#12348)

* Add error message

* Fix for python2

* PEP8

* Try float conversion instead of checking type"
keras,0,11076,545acc4b66b5fb0ed5457ef7288d836f022c118d,"Section For Training History Visualization### Summary
Added A Section For Training History Visualization Using Matplotlib, Inspired By Https://Machinelearningmastery.Com/Display-Deep-Learning-Model-Training-History-In-Keras/

### Related Issues
Nil

### Pr Overview

- [ ] This Pr Requires New Unit Tests [Y/N] (Make Sure Tests Are Included)
- [X] This Pr Requires To Update The Documentation [Y/N] (Make Sure The Docs Are Up-To-Date)
- [X] This Pr Is Backwards Compatible [Y/N]
- [ ] This Pr Changes The Current Api [Y/N] (All Api Changes Need To Be Approved By Fchollet)
","Speed up backend tests (#11051)

* Speed up backend tests

* Minor revision","Speed up backend tests (#11051)

* Speed up backend tests

* Minor revision"
keras,0,11388,885ba629acba8128fd40b0af92c960b99ac5b827,"Added Get_Value, Count_Params, Int_Shape And Get_Variable_Shape To Reference_Operations.Py### Summary

Added The Four Functions And Adapted The Backend Tests Accordingly.

Also Made 5 Tests Instead Of One For More Focused Error Reporting.

### Related Issues

#11068

### Pr Overview

- [ ] This Pr Requires New Unit Tests [Y/N] (Make Sure Tests Are Included)
- [ ] This Pr Requires To Update The Documentation [Y/N] (Make Sure The Docs Are Up-To-Date)
- [X] This Pr Is Backwards Compatible [Y/N]
- [ ] This Pr Changes The Current Api [Y/N] (All Api Changes Need To Be Approved By Fchollet)
",Activated disabled tests in the backend tests. (#11389),Activated disabled tests in the backend tests. (#11389)
